kusini,"['ku', 'si', 'n', 'i']"
kitakachoivaa,"['ki', 'taka', 'cho', 'iva', 'iva', 'a']"
haijalishi,"['ha', 'i', 'ja', 'li', 'sh', 'i']"
ataungana,"['a', 'ta', 'unga', 'unga', 'n', 'a']"
mwalami,"['m', 'wa', 'la', 'la', 'm', 'i']"
watakaokaa,"['wa', 'taka', 'oka', 'oka', 'a']"
amezoea,"['a', 'me', 'zo', 'e', 'a']"
watatua,"['wa', 'ta', 'tu', 'a']"
zinakutana,"['zi', 'na', 'kuta', 'kuta', 'n', 'a']"
ikiumana,"['i', 'ki', 'uma', 'uma', 'n', 'a']"
imezidiwa,"['i', 'me', 'zidi', 'zidi', 'w', 'a']"
waungane,"['wa', 'unga', 'unga', 'n', 'e']"
inawaniwa,"['i', 'na', 'wa', 'ni', 'ni', 'w', 'a']"
hafikirii,"['ha', 'fikiri', 'fikiri', 'i']"
wamebakisha,"['wa', 'me', 'baki', 'baki', 'sh', 'a']"
anatua,"['a', 'na', 'tu', 'a']"
kingekuwa,"['ki', 'nge', 'ku', 'w', 'a']"
mlioni,"['m', 'li', 'o', 'n', 'i']"
zinawania,"['zi', 'na', 'wa', 'ni', 'ni', 'a']"
iliyojaza,"['i', 'li', 'yo', 'ja', 'ja', 'z', 'a']"
ziendane,"['zi', 'enda', 'enda', 'n', 'e']"
wanakosa,"['wa', 'na', 'ko', 'ko', 's', 'a']"
amezoeana,"['a', 'me', 'zoea', 'zoea', 'n', 'a']"
kupigiana,"['ku', 'pigia', 'pigia', 'n', 'a']"
amini,"['a', 'm', 'i', 'ni']"
pazia,"['pa', 'zi', 'a']"
inamaana,"['inama', 'inama', 'an', 'a']"
hausiki,"['ha', 'u', 'si', 'si', 'k', 'i']"
linakosa,"['li', 'na', 'ko', 'ko', 's', 'a']"
kutupiana,"['ku', 'tupia', 'tupia', 'n', 'a']"
mikao,"['m', 'i', 'k', 'a', 'o']"
watakapotua,"['wa', 'taka', 'po', 'tu', 'a']"
kukibadilisha,"['ku', 'ki', 'badili', 'badili', 'sh', 'a']"
wanaungana,"['wa', 'na', 'unga', 'unga', 'n', 'a']"
alizima,"['a', 'li', 'zi', 'm', 'a']"
yaitaka,"['ya', 'ita', 'ita', 'k', 'a']"
kiamuaki,"['ki', 'amua', 'amua', 'k', 'i']"
watajaza,"['wa', 'ta', 'ja', 'ja', 'z', 'a']"
kuipoka,"['ku', 'ipo', 'ipo', 'k', 'a']"
kumbakiza,"['ku', 'm', 'baki', 'baki', 'z', 'a']"
imeirudisha,"['i', 'me', 'i', 'rudi', 'rudi', 'sh', 'a']"
tunalaani,"['tu', 'na', 'la', 'la', 'an', 'i']"
unazi,"['u', 'na', 'z', 'i']"
munishi,"['m', 'u', 'ni', 'ni', 'sh', 'i']"
walifungana,"['wa', 'li', 'funga', 'funga', 'n', 'a']"
watakachokuwa,"['wa', 'taka', 'cho', 'ku', 'w', 'a']"
yatakayokuwa,"['ya', 'taka', 'yo', 'ku', 'w', 'a']"
kuurudisha,"['ku', 'u', 'rudi', 'rudi', 'sh', 'a']"
mchangani,"['m', 'changa', 'changa', 'n', 'i']"
kutawazwa,"['ku', 'ta', 'wa', 'zw', 'a']"
wanafurahia,"['wa', 'na', 'furahi', 'furahi', 'a']"
sitakuwa,"['si', 'ta', 'ku', 'w', 'a']"
kupasha,"['ku', 'pa', 'sh', 'a']"
waliokoa,"['wa', 'li', 'o', 'ko', 'ko', 'a']"
inayosubiriwa,"['i', 'na', 'yo', 'subiri', 'subiri', 'w', 'a']"
kutakua,"['ku', 'ta', 'ku', 'a']"
wakataka,"['wa', 'kata', 'kata', 'k', 'a']"
walitua,"['wa', 'li', 'tu', 'a']"
lililotokana,"['li', 'li', 'lo', 'toka', 'toka', 'n', 'a']"
likifikiriwa,"['li', 'ki', 'fikiri', 'fikiri', 'w', 'a']"
vikae,"['vi', 'ka', 'e']"
utakapokuwa,"['u', 'taka', 'po', 'ku', 'w', 'a']"
akini,"['a', 'ki', 'n', 'i']"
mtalaka,"['m', 'ta', 'la', 'la', 'k', 'a']"
anazo,"['a', 'n', 'a', 'zo']"
kupendana,"['ku', 'penda', 'penda', 'n', 'a']"
wamzike,"['wa', 'm', 'zi', 'zi', 'k', 'e']"
wakifurahia,"['wa', 'ki', 'furahi', 'furahi', 'a']"
inayoishi,"['i', 'na', 'yo', 'i', 'sh', 'i']"
turudishe,"['tu', 'rudi', 'rudi', 'sh', 'e']"
wanaishia,"['wa', 'na', 'ishi', 'ishi', 'a']"
kulalama,"['ku', 'lala', 'lala', 'm', 'a']"
inawapasa,"['i', 'na', 'wa', 'pa', 'pa', 's', 'a']"
kuturudisha,"['ku', 'tu', 'rudi', 'rudi', 'sh', 'a']"
zilivyokuwa,"['zi', 'li', 'vyo', 'ku', 'w', 'a']"
wachawi,"['wa', 'cha', 'cha', 'w', 'i']"
amezaliwa,"['a', 'meza', 'meza', 'liw', 'a']"
hasha,"['ha', 'sh', 'a']"
hatutakiwi,"['ha', 'tu', 'ta', 'ki', 'w', 'i']"
zimejaa,"['zi', 'me', 'ja', 'ja', 'a']"
tunalo,"['tu', 'n', 'a', 'lo']"
yamebadilika,"['ya', 'me', 'badili', 'badili', 'k', 'a']"
vinakuwa,"['vi', 'na', 'ku', 'w', 'a']"
kusimia,"['ku', 'si', 'm', 'i', 'a']"
inarudisha,"['i', 'na', 'rudi', 'rudi', 'sh', 'a']"
vichaka,"['vi', 'cha', 'cha', 'k', 'a']"
kinachokubalika,"['ki', 'na', 'cho', 'kubali', 'kubali', 'k', 'a']"
hauishii,"['ha', 'u', 'ishi', 'ishi', 'i']"
tuulizane,"['tu', 'uliza', 'uliza', 'n', 'e']"
watakavyo,"['wa', 'ta', 'k', 'a', 'vyo']"
tusifikirie,"['tu', 'si', 'fikiri', 'fikiri', 'e']"
yakiwamo,"['ya', 'ki', 'w', 'a', 'mo']"
kukamua,"['ku', 'ka', 'm', 'u', 'a']"
wakiungana,"['wa', 'ki', 'unga', 'unga', 'n', 'a']"
wakose,"['wa', 'ko', 'ko', 's', 'e']"
linafaa,"['li', 'na', 'fa', 'fa', 'a']"
hutegemeana,"['hu', 'tegemea', 'tegemea', 'n', 'a']"
wamefurahia,"['wa', 'me', 'furahi', 'furahi', 'a']"
yanayofaa,"['ya', 'na', 'yo', 'fa', 'fa', 'a']"
hujaa,"['hu', 'ja', 'ja', 'a']"
waliikosa,"['wa', 'li', 'i', 'ko', 'ko', 's', 'a']"
walikua,"['wa', 'li', 'ku', 'a']"
wakaazi,"['wa', 'ka', 'az', 'i']"
wanaokosa,"['wa', 'na', 'o', 'ko', 'ko', 's', 'a']"
walioishi,"['wa', 'li', 'o', 'i', 'sh', 'i']"
itarudisha,"['i', 'ta', 'rudi', 'rudi', 'sh', 'a']"
kulikataa,"['ku', 'li', 'kata', 'kata', 'a']"
umekua,"['u', 'me', 'ku', 'a']"
sikuwa,"['si', 'ku', 'w', 'a']"
linakuzwa,"['li', 'na', 'ku', 'zw', 'a']"
wauze,"['wa', 'u', 'z', 'e']"
anayoishi,"['a', 'na', 'yo', 'i', 'sh', 'i']"
haziendani,"['ha', 'zi', 'enda', 'enda', 'n', 'i']"
zinazoendana,"['zi', 'na', 'zo', 'enda', 'enda', 'n', 'a']"
waitaka,"['wa', 'ita', 'ita', 'k', 'a']"
vinavyokubalika,"['vi', 'na', 'vyo', 'kubali', 'kubali', 'k', 'a']"
ikaona,"['i', 'ka', 'o', 'n', 'a']"
sifurahii,"['si', 'furahi', 'furahi', 'i']"
anakataa,"['a', 'na', 'kata', 'kata', 'a']"
utakua,"['u', 'ta', 'ku', 'a']"
alilopigana,"['a', 'li', 'lo', 'piga', 'piga', 'n', 'a']"
wakaangalia,"['wa', 'kaanga', 'kaanga', 'li', 'a']"
kuyakosa,"['ku', 'ya', 'ko', 'ko', 's', 'a']"
zinapokuwa,"['zi', 'na', 'po', 'ku', 'w', 'a']"
zilikisiwa,"['zi', 'li', 'ki', 'si', 'si', 'w', 'a']"
kumfurahisha,"['ku', 'm', 'furahi', 'furahi', 'sh', 'a']"
wanini,"['wa', 'ni', 'ni', 'n', 'i']"
wajameni,"['wa', 'ja', 'ja', 'm', 'e', 'ni']"
umezaliwa,"['u', 'meza', 'meza', 'liw', 'a']"
mlifurahia,"['m', 'li', 'furahi', 'furahi', 'a']"
mwako,"['m', 'w', 'a', 'ko']"
tubadilike,"['tu', 'badili', 'badili', 'k', 'e']"
usiye,"['u', 'si', 'y', 'e']"
kuagana,"['ku', 'aga', 'aga', 'n', 'a']"
achana,"['a', 'cha', 'cha', 'n', 'a']"
alinikataza,"['a', 'li', 'ni', 'kata', 'kata', 'z', 'a']"
asinioe,"['a', 'si', 'ni', 'ni', 'o', 'e']"
yaishie,"['ya', 'ishi', 'ishi', 'e']"
umechoka,"['u', 'me', 'cho', 'k', 'a']"
uwani,"['u', 'wa', 'n', 'i']"
kuifurahia,"['ku', 'i', 'furahi', 'furahi', 'a']"
linauma,"['li', 'na', 'u', 'm', 'a']"
kusimuliwa,"['ku', 'si', 'm', 'uliw', 'a']"
akabaki,"['a', 'kaba', 'kaba', 'k', 'i']"
hakuamini,"['ha', 'kua', 'kua', 'm', 'i', 'ni']"
akatamani,"['a', 'kata', 'kata', 'm', 'a', 'ni']"
akafikiriwa,"['a', 'ka', 'fikiri', 'fikiri', 'w', 'a']"
halisina,"['ha', 'li', 'si', 'si', 'n', 'a']"
anani,"['a', 'na', 'n', 'i']"
hawakuamini,"['ha', 'wa', 'kua', 'kua', 'm', 'i', 'ni']"
amepona,"['a', 'me', 'po', 'n', 'a']"
unalo,"['u', 'n', 'a', 'lo']"
hautaki,"['ha', 'u', 'ta', 'k', 'i']"
vijiwe,"['vi', 'ji', 'w', 'e']"
vijiweni,"['vi', 'ji', 'w', 'e', 'ni']"
unakosa,"['u', 'na', 'ko', 'ko', 's', 'a']"
kuoneana,"['ku', 'onea', 'onea', 'n', 'a']"
kujifikiria,"['ku', 'ji', 'fikiri', 'fikiri', 'a']"
kinasa,"['ki', 'na', 's', 'a']"
wanaoamini,"['wa', 'na', 'oa', 'oa', 'm', 'i', 'ni']"
yalivyokuwa,"['ya', 'li', 'vyo', 'ku', 'w', 'a']"
ameolewa,"['a', 'me', 'o', 'lew', 'a']"
hufikiria,"['hu', 'fikiri', 'fikiri', 'a']"
uishi,"['u', 'i', 'sh', 'i']"
ajuaye,"['a', 'jua', 'jua', 'y', 'e']"
kulalia,"['ku', 'la', 'la', 'li', 'a']"
ameoa,"['a', 'me', 'o', 'a']"
usimkubalie,"['u', 'si', 'm', 'kubali', 'kubali', 'e']"
kungekuwa,"['ku', 'nge', 'ku', 'w', 'a']"
kuwajaza,"['ku', 'wa', 'ja', 'ja', 'z', 'a']"
akisaidiana,"['a', 'ki', 'saidia', 'saidia', 'n', 'a']"
liuli,"['li', 'ul', 'i']"
walichoka,"['wa', 'li', 'cho', 'k', 'a']"
kuzaliana,"['ku', 'zalia', 'zalia', 'n', 'a']"
yatatokana,"['ya', 'ta', 'toka', 'toka', 'n', 'a']"
wameajiriwa,"['wa', 'me', 'ajiri', 'ajiri', 'w', 'a']"
hamtaki,"['ha', 'm', 'ta', 'k', 'i']"
muwasa,"['m', 'u', 'wa', 'wa', 's', 'a']"
aliyewasha,"['a', 'li', 'ye', 'wa', 'sh', 'a']"
umezaa,"['u', 'meza', 'meza', 'a']"
imekosa,"['i', 'me', 'ko', 'ko', 's', 'a']"
walipoteana,"['wa', 'li', 'potea', 'potea', 'n', 'a']"
wakisukumana,"['wa', 'ki', 'sukuma', 'sukuma', 'n', 'a']"
visiki,"['vi', 'si', 'k', 'i']"
walizomea,"['wa', 'li', 'zo', 'm', 'e', 'a']"
rudiwa,"['rudi', 'rudi', 'w', 'a']"
itakayo,"['i', 'ta', 'k', 'a', 'yo']"
ukeni,"['u', 'k', 'e', 'ni']"
itokanayo,"['i', 'toka', 'toka', 'n', 'a', 'yo']"
wanaolazwa,"['wa', 'na', 'o', 'la', 'la', 'zw', 'a']"
kuangaliana,"['ku', 'angalia', 'angalia', 'n', 'a']"
yanabadilika,"['ya', 'na', 'badili', 'badili', 'k', 'a']"
utaishia,"['u', 'ta', 'ishi', 'ishi', 'a']"
hakikisha,"['ha', 'ki', 'ki', 'sh', 'a']"
wapendanao,"['wa', 'penda', 'penda', 'n', 'a', 'o']"
unaua,"['u', 'na', 'u', 'a']"
kunyauka,"['ku', 'nya', 'nya', 'uk', 'a']"
munisi,"['m', 'u', 'ni', 'ni', 's', 'i']"
linaloendana,"['li', 'na', 'lo', 'enda', 'enda', 'n', 'a']"
ikuza,"['i', 'ku', 'z', 'a']"
utawaka,"['u', 'ta', 'wa', 'k', 'a']"
likuwa,"['li', 'ku', 'w', 'a']"
sikutaka,"['si', 'kuta', 'kuta', 'k', 'a']"
kubakiza,"['ku', 'baki', 'baki', 'z', 'a']"
tulivyokuwa,"['tu', 'li', 'vyo', 'ku', 'w', 'a']"
atakuwapo,"['a', 'ta', 'ku', 'w', 'a', 'po']"
yakupasa,"['ya', 'ku', 'pa', 'pa', 's', 'a']"
kikosini,"['ki', 'ko', 'ko', 's', 'i', 'ni']"
kupendeleana,"['ku', 'pendelea', 'pendelea', 'n', 'a']"
wanaelewana,"['wa', 'na', 'elewa', 'elewa', 'n', 'a']"
walikuwapo,"['wa', 'li', 'ku', 'w', 'a', 'po']"
kutibua,"['ku', 'tibu', 'tibu', 'a']"
wanakwaana,"['wa', 'na', 'kwaa', 'kwaa', 'n', 'a']"
zilitokana,"['zi', 'li', 'toka', 'toka', 'n', 'a']"
yatabadilika,"['ya', 'ta', 'badili', 'badili', 'k', 'a']"
kukumbushana,"['ku', 'kumbusha', 'kumbusha', 'n', 'a']"
ukiachana,"['u', 'ki', 'acha', 'acha', 'n', 'a']"
lililokomaa,"['li', 'li', 'lo', 'koma', 'koma', 'a']"
upake,"['u', 'pa', 'k', 'e']"
kutamani,"['ku', 'ta', 'm', 'a', 'ni']"
kusameheana,"['ku', 'samehe', 'samehe', 'an', 'a']"
inazidiwa,"['i', 'na', 'zidi', 'zidi', 'w', 'a']"
mchaki,"['m', 'cha', 'cha', 'k', 'i']"
vinane,"['vi', 'na', 'n', 'e']"
mkushi,"['m', 'ku', 'sh', 'i']"
inarudiana,"['i', 'na', 'rudi', 'rudi', 'an', 'a']"
inayowania,"['i', 'na', 'yo', 'wa', 'ni', 'ni', 'a']"
hawaelewani,"['ha', 'wa', 'elewa', 'elewa', 'n', 'i']"
inatua,"['i', 'na', 'tu', 'a']"
alikua,"['a', 'li', 'ku', 'a']"
kuchezaa,"['ku', 'cheza', 'cheza', 'a']"
kukazia,"['ku', 'ka', 'zi', 'a']"
zimeona,"['zi', 'me', 'o', 'n', 'a']"
apewaye,"['a', 'pewa', 'pewa', 'y', 'e']"
kufaa,"['ku', 'fa', 'fa', 'a']"
kijiweni,"['ki', 'ji', 'w', 'e', 'ni']"
kurudiana,"['ku', 'rudi', 'rudi', 'an', 'a']"
ikirudiana,"['i', 'ki', 'rudi', 'rudi', 'an', 'a']"
kuonyeshana,"['ku', 'onyesha', 'onyesha', 'n', 'a']"
mnakuwa,"['m', 'na', 'ku', 'w', 'a']"
rudia,"['rudi', 'rudi', 'a']"
unaishi,"['u', 'na', 'i', 'sh', 'i']"
yanini,"['ya', 'ni', 'ni', 'n', 'i']"
tutapigana,"['tu', 'ta', 'piga', 'piga', 'n', 'a']"
unayoishi,"['u', 'na', 'yo', 'i', 'sh', 'i']"
itakayokiuka,"['i', 'taka', 'yo', 'ki', 'uk', 'a']"
husiana,"['hu', 'si', 'si', 'an', 'a']"
walizidiwa,"['wa', 'li', 'zidi', 'zidi', 'w', 'a']"
zimefungana,"['zi', 'me', 'funga', 'funga', 'n', 'a']"
tulizoea,"['tu', 'li', 'zo', 'e', 'a']"
wamekulia,"['wa', 'me', 'ku', 'li', 'a']"
mikosi,"['m', 'i', 'ko', 'ko', 's', 'i']"
walijaa,"['wa', 'li', 'ja', 'ja', 'a']"
mkuzi,"['m', 'ku', 'z', 'i']"
inampasa,"['i', 'na', 'm', 'pa', 'pa', 's', 'a']"
itaonyeshana,"['i', 'ta', 'onyesha', 'onyesha', 'n', 'a']"
itakua,"['i', 'ta', 'ku', 'a']"
ibadilike,"['i', 'badili', 'badili', 'k', 'e']"
iliyoisha,"['i', 'li', 'yo', 'i', 'sh', 'a']"
kilikosa,"['ki', 'li', 'ko', 'ko', 's', 'a']"
zinabadilika,"['zi', 'na', 'badili', 'badili', 'k', 'a']"
hubadilika,"['hu', 'badili', 'badili', 'k', 'a']"
ingekua,"['i', 'nge', 'ku', 'a']"
wakilalama,"['wa', 'ki', 'lala', 'lala', 'm', 'a']"
kuwaniwa,"['ku', 'wa', 'ni', 'ni', 'w', 'a']"
watakua,"['wa', 'ta', 'ku', 'a']"
wasigombane,"['wa', 'si', 'gomba', 'gomba', 'n', 'e']"
inaishi,"['i', 'na', 'i', 'sh', 'i']"
itakwaana,"['i', 'ta', 'kwaa', 'kwaa', 'n', 'a']"
aliyepania,"['a', 'li', 'ye', 'pa', 'ni', 'ni', 'a']"
walilalama,"['wa', 'li', 'lala', 'lala', 'm', 'a']"
haishi,"['ha', 'i', 'sh', 'i']"
waliopendana,"['wa', 'li', 'o', 'penda', 'penda', 'n', 'a']"
aliyenaye,"['a', 'li', 'ye', 'na', 'na', 'y', 'e']"
kuambiana,"['ku', 'ambia', 'ambia', 'n', 'a']"
imeisha,"['i', 'me', 'i', 'sh', 'a']"
mimosa,"['m', 'i', 'mo', 'mo', 's', 'a']"
zitarudiana,"['zi', 'ta', 'rudi', 'rudi', 'an', 'a']"
ilikua,"['i', 'li', 'ku', 'a']"
hatataka,"['ha', 'tata', 'tata', 'k', 'a']"
wakionyeshana,"['wa', 'ki', 'onyesha', 'onyesha', 'n', 'a']"
anaaminika,"['a', 'na', 'amini', 'amini', 'k', 'a']"
kufundishana,"['ku', 'fundisha', 'fundisha', 'n', 'a']"
machalii,"['m', 'acha', 'acha', 'li', 'i']"
kupaniki,"['ku', 'pa', 'ni', 'ni', 'k', 'i']"
anapokutana,"['a', 'na', 'po', 'kuta', 'kuta', 'n', 'a']"
mnaotaka,"['m', 'na', 'ota', 'ota', 'k', 'a']"
havitengamani,"['ha', 'vi', 'tenga', 'tenga', 'm', 'a', 'ni']"
kusuguana,"['ku', 'sugua', 'sugua', 'n', 'a']"
zikikataliwa,"['zi', 'ki', 'kata', 'kata', 'liw', 'a']"
utarudiwa,"['u', 'ta', 'rudi', 'rudi', 'w', 'a']"
yanajirudia,"['ya', 'na', 'ji', 'rudi', 'rudi', 'a']"
limao,"['li', 'm', 'a', 'o']"
hamuelewani,"['ha', 'm', 'u', 'elewa', 'elewa', 'n', 'i']"
kupaniana,"['ku', 'pa', 'ni', 'ni', 'an', 'a']"
tunapigana,"['tu', 'na', 'piga', 'piga', 'n', 'a']"
walipania,"['wa', 'li', 'pa', 'ni', 'ni', 'a']"
tunatumaini,"['tu', 'na', 'tuma', 'tuma', 'i', 'ni']"
kuibakisha,"['ku', 'i', 'baki', 'baki', 'sh', 'a']"
kuikoa,"['ku', 'i', 'ko', 'ko', 'a']"
yanahitajika,"['ya', 'na', 'hitaji', 'hitaji', 'k', 'a']"
aliikosa,"['a', 'li', 'i', 'ko', 'ko', 's', 'a']"
alitulia,"['a', 'li', 'tu', 'li', 'a']"
kijiwe,"['ki', 'ji', 'w', 'e']"
alilalama,"['a', 'li', 'lala', 'lala', 'm', 'a']"
kitaa,"['ki', 'ta', 'a']"
kiumakini,"['ki', 'uma', 'uma', 'k', 'i', 'ni']"
visheni,"['vi', 'sh', 'e', 'ni']"
mikoni,"['m', 'i', 'ko', 'ko', 'n', 'i']"
pigana,"['piga', 'piga', 'n', 'a']"
halijai,"['ha', 'li', 'ja', 'i']"
sifikirii,"['si', 'fikiri', 'fikiri', 'i']"
tumezoea,"['tu', 'me', 'zo', 'e', 'a']"
zinarudiana,"['zi', 'na', 'rudi', 'rudi', 'an', 'a']"
imesaliwa,"['i', 'me', 'sali', 'sali', 'w', 'a']"
anakosa,"['a', 'na', 'ko', 'ko', 's', 'a']"
kukamia,"['ku', 'ka', 'm', 'i', 'a']"
wanauzia,"['wa', 'na', 'u', 'zi', 'zi', 'a']"
tupendane,"['tu', 'penda', 'penda', 'n', 'e']"
tunaitaka,"['tu', 'na', 'ita', 'ita', 'k', 'a']"
unaisha,"['u', 'na', 'i', 'sh', 'a']"
yakae,"['ya', 'ka', 'e']"
inapohitajika,"['i', 'na', 'po', 'hitaji', 'hitaji', 'k', 'a']"
alibakia,"['a', 'li', 'baki', 'baki', 'a']"
kusalia,"['ku', 'sali', 'sali', 'a']"
kuchukiana,"['ku', 'chukia', 'chukia', 'n', 'a']"
aliyebakizwa,"['a', 'li', 'ye', 'baki', 'baki', 'zw', 'a']"
utakutana,"['u', 'ta', 'kuta', 'kuta', 'n', 'a']"
wafurahie,"['wa', 'furahi', 'furahi', 'e']"
akabadilika,"['a', 'ka', 'badili', 'badili', 'k', 'a']"
hakufai,"['ha', 'ku', 'fa', 'fa', 'i']"
uliyenaye,"['u', 'li', 'ye', 'na', 'na', 'y', 'e']"
wanalo,"['wa', 'n', 'a', 'lo']"
tukikutana,"['tu', 'ki', 'kuta', 'kuta', 'n', 'a']"
anayefikiria,"['a', 'na', 'ye', 'fikiri', 'fikiri', 'a']"
wakaze,"['wa', 'ka', 'z', 'e']"
akakataa,"['a', 'ka', 'kata', 'kata', 'a']"
kumekua,"['ku', 'me', 'ku', 'a']"
kukaribiana,"['ku', 'karibia', 'karibia', 'n', 'a']"
amezaa,"['a', 'meza', 'meza', 'a']"
kuumizana,"['ku', 'umiza', 'umiza', 'n', 'a']"
hakuishia,"['ha', 'ku', 'ishi', 'ishi', 'a']"
kumbadilisha,"['ku', 'm', 'badili', 'badili', 'sh', 'a']"
zinazowania,"['zi', 'na', 'zo', 'wa', 'ni', 'ni', 'a']"
kimebakiza,"['ki', 'me', 'baki', 'baki', 'z', 'a']"
kitakwaana,"['ki', 'ta', 'kwaa', 'kwaa', 'n', 'a']"
anadhaniwa,"['a', 'na', 'dhani', 'dhani', 'w', 'a']"
kukwaana,"['ku', 'kwaa', 'kwaa', 'n', 'a']"
anaishia,"['a', 'na', 'ishi', 'ishi', 'a']"
wazamani,"['wa', 'zama', 'zama', 'n', 'i']"
kunyimana,"['ku', 'nyima', 'nyima', 'n', 'a']"
viwalo,"['vi', 'w', 'a', 'lo']"
unaosha,"['u', 'na', 'o', 'sh', 'a']"
badilisha,"['badili', 'badili', 'sh', 'a']"
zitakapokutana,"['zi', 'taka', 'po', 'kuta', 'kuta', 'n', 'a']"
kukausha,"['ku', 'ka', 'u', 'sh', 'a']"
anafikiria,"['a', 'na', 'fikiri', 'fikiri', 'a']"
wakushi,"['wa', 'ku', 'sh', 'i']"
amebakiza,"['a', 'me', 'baki', 'baki', 'z', 'a']"
tukiitaka,"['tu', 'ki', 'ita', 'ita', 'k', 'a']"
unavyoishi,"['u', 'na', 'vyo', 'i', 'sh', 'i']"
ikikubalika,"['i', 'ki', 'kubali', 'kubali', 'k', 'a']"
ameibadilisha,"['a', 'me', 'i', 'badili', 'badili', 'sh', 'a']"
afikirie,"['a', 'fikiri', 'fikiri', 'e']"
kiuka,"['ki', 'u', 'k', 'a']"
wamalizane,"['wa', 'maliza', 'maliza', 'n', 'e']"
linalofaa,"['li', 'na', 'lo', 'fa', 'fa', 'a']"
kutakapokuwa,"['ku', 'taka', 'po', 'ku', 'w', 'a']"
mnyamani,"['m', 'nya', 'nya', 'm', 'a', 'ni']"
ulizi,"['u', 'li', 'z', 'i']"
imeoza,"['i', 'me', 'o', 'z', 'a']"
anawaza,"['a', 'na', 'wa', 'z', 'a']"
yanayokuwa,"['ya', 'na', 'yo', 'ku', 'w', 'a']"
mapaka,"['m', 'apa', 'apa', 'k', 'a']"
anayeuza,"['a', 'na', 'ye', 'u', 'z', 'a']"
vilichomwa,"['vi', 'li', 'cho', 'm', 'w', 'a']"
wanalima,"['wa', 'na', 'li', 'm', 'a']"
hakijawa,"['ha', 'ki', 'ja', 'w', 'a']"
vinavyopakana,"['vi', 'na', 'vyo', 'paka', 'paka', 'n', 'a']"
kuwafikiria,"['ku', 'wa', 'fikiri', 'fikiri', 'a']"
wakalimani,"['wa', 'ka', 'li', 'm', 'a', 'ni']"
simai,"['si', 'm', 'a', 'i']"
uwapo,"['u', 'w', 'a', 'po']"
tunashindana,"['tu', 'na', 'shinda', 'shinda', 'n', 'a']"
kudaiana,"['ku', 'dai', 'dai', 'an', 'a']"
anazouza,"['a', 'na', 'zo', 'u', 'z', 'a']"
waachane,"['wa', 'acha', 'acha', 'n', 'e']"
wametengana,"['wa', 'me', 'tenga', 'tenga', 'n', 'a']"
urudiwe,"['u', 'rudi', 'rudi', 'w', 'e']"
kinachotokana,"['ki', 'na', 'cho', 'toka', 'toka', 'n', 'a']"
kuyasafirisha,"['ku', 'ya', 'safiri', 'safiri', 'sh', 'a']"
kupakazwa,"['ku', 'paka', 'paka', 'zw', 'a']"
uliozaa,"['u', 'li', 'oza', 'oza', 'a']"
tunashawishika,"['tu', 'na', 'shawishi', 'shawishi', 'k', 'a']"
kuukataa,"['ku', 'u', 'kata', 'kata', 'a']"
hawawi,"['ha', 'wa', 'w', 'i']"
kimehifadhiwa,"['ki', 'me', 'hifadhi', 'hifadhi', 'w', 'a']"
kitusi,"['ki', 'tu', 's', 'i']"
unawaka,"['u', 'na', 'wa', 'k', 'a']"
yakaisha,"['ya', 'ka', 'i', 'sh', 'a']"
walioua,"['wa', 'li', 'o', 'u', 'a']"
hudaiwa,"['hu', 'dai', 'dai', 'w', 'a']"
waliua,"['wa', 'li', 'u', 'a']"
ukabaki,"['u', 'kaba', 'kaba', 'k', 'i']"
tunafikiria,"['tu', 'na', 'fikiri', 'fikiri', 'a']"
wanaosafirisha,"['wa', 'na', 'o', 'safiri', 'safiri', 'sh', 'a']"
ukoma,"['u', 'ko', 'ko', 'm', 'a']"
kuifurahisha,"['ku', 'i', 'furahi', 'furahi', 'sh', 'a']"
mkome,"['m', 'ko', 'ko', 'm', 'e']"
yanayoishia,"['ya', 'na', 'yo', 'ishi', 'ishi', 'a']"
wakiitana,"['wa', 'ki', 'ita', 'ita', 'n', 'a']"
hawatakaa,"['ha', 'wa', 'taka', 'taka', 'a']"
yameisha,"['ya', 'me', 'i', 'sh', 'a']"
huungana,"['hu', 'unga', 'unga', 'n', 'a']"
inaungana,"['i', 'na', 'unga', 'unga', 'n', 'a']"
tuliyokubaliana,"['tu', 'li', 'yo', 'kubali', 'kubali', 'an', 'a']"
likisafirisha,"['li', 'ki', 'safiri', 'safiri', 'sh', 'a']"
wanalia,"['wa', 'na', 'li', 'a']"
tokana,"['toka', 'toka', 'n', 'a']"
hayaishi,"['ha', 'ya', 'i', 'sh', 'i']"
zinazoua,"['zi', 'na', 'zo', 'u', 'a']"
hazitauzwa,"['ha', 'zi', 'ta', 'u', 'zw', 'a']"
tunaishia,"['tu', 'na', 'ishi', 'ishi', 'a']"
kuvumiliana,"['ku', 'vumilia', 'vumilia', 'n', 'a']"
akaitaka,"['a', 'ka', 'ita', 'ita', 'k', 'a']"
wanaye,"['wa', 'na', 'y', 'e']"
imeua,"['i', 'me', 'u', 'a']"
ulikataliwa,"['u', 'li', 'kata', 'kata', 'liw', 'a']"
ulikiuka,"['u', 'li', 'ki', 'uk', 'a']"
imeungana,"['i', 'me', 'unga', 'unga', 'n', 'a']"
kusimulia,"['ku', 'si', 'm', 'uli', 'a']"
haujaisha,"['ha', 'u', 'ja', 'i', 'sh', 'a']"
